Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,Assets,BUY,SELL
1/2/2020,1875.0,1898.01,1864.15,1898.01,10000.0,---,---
1/3/2020,1864.5,1886.2,1864.5,1874.97,10000.0,---,---
1/6/2020,1860.0,1903.69,1860.0,1902.88,10000.0,---,---
1/7/2020,1904.5,1913.89,1892.04,1906.86,10000.0,---,---
1/8/2020,1898.04,1911.0,1886.44,1891.97,10000.0,---,---
1/9/2020,1909.89,1917.82,1895.8,1901.05,10000.0,---,---
1/10/2020,1905.37,1906.94,1880.0,1883.16,10000.0,---,---
1/13/2020,1891.31,1898.0,1880.8,1891.3,10000.0,---,---
1/14/2020,1885.88,1887.11,1858.55,1869.44,10000.0,---,---
1/15/2020,1872.25,1878.86,1855.09,1862.02,10000.0,---,---
1/16/2020,1882.99,1885.59,1866.02,1877.94,10000.0,---,---
1/17/2020,1885.89,1886.64,1857.25,1864.72,10000.0,---,---
1/21/2020,1865.0,1894.27,1860.0,1892.0,10000.0,---,---
1/22/2020,1896.09,1902.5,1883.34,1887.46,10000.0,---,---
1/23/2020,1885.11,1889.97,1872.76,1884.58,10000.0,---,---
1/24/2020,1891.37,1894.99,1847.44,1861.64,10000.0,---,---
1/27/2020,1820.0,1841.0,1815.34,1828.34,10000.0,---,---
1/28/2020,1840.5,1858.11,1830.02,1853.25,10000.0,---,---
1/29/2020,1864.0,1874.75,1855.02,1858.0,10000.0,---,---
1/30/2020,1858.0,1872.87,1850.61,1870.68,10000.0,---,---
1/31/2020,2051.47,2055.72,2002.27,2008.72,10000.0,---,---
2/3/2020,2010.6,2048.5,2000.25,2004.2,10000.0,---,---
2/4/2020,2029.88,2059.8,2015.37,2049.67,10000.0,---,---
2/5/2020,2071.02,2071.02,2032.0,2039.87,10000.0,---,---
2/6/2020,2041.02,2056.3,2024.8,2050.23,10000.0,---,---
2/7/2020,2041.99,2098.53,2038.1,2079.28,10000.0,---,---
2/10/2020,2085.01,2135.6,2084.96,2133.91,10000.0,---,---
2/11/2020,2150.9,2185.95,2136.0,2150.8,10000.0,---,---
2/12/2020,2163.2,2180.25,2155.29,2160.0,10000.0,---,---
2/13/2020,2144.99,2170.28,2142.0,2149.87,10000.0,---,---
2/14/2020,2155.68,2159.04,2125.89,2134.87,10000.0,---,---
2/18/2020,2125.02,2166.07,2124.11,2155.67,10000.0,---,---
2/19/2020,2167.8,2185.1,2161.12,2170.22,10000.0,---,---
2/20/2020,2173.07,2176.79,2127.45,2153.13,10000.0,---,---
2/21/2020,2142.15,2144.55,2088.0,2095.97,10000.0,---,---
2/24/2020,2003.18,2039.3,1987.97,2009.29,10000.0,---,---
2/25/2020,2026.42,2034.6,1958.42,1972.74,10000.0,---,---
2/26/2020,1970.28,2014.67,1960.45,1979.59,10000.0,---,---
2/27/2020,1934.38,1975.0,1882.76,1884.3,10000.0,---,---
2/28/2020,1814.63,1889.76,1811.13,1883.75,10000.0,---,---
3/2/2020,1906.49,1954.51,1870.0,1953.95,10000.0,---,---
3/3/2020,1975.37,1996.33,1888.09,1908.99,10000.0,---,---
3/4/2020,1946.57,1978.0,1922.0,1975.83,10000.0,---,---
3/5/2020,1933.0,1960.72,1910.0,1924.03,10000.0,---,---
3/6/2020,1875.0,1910.87,1869.5,1900.3,10000.0,---,---
3/9/2020,1773.86,1862.77,1761.29,1800.61,10000.0,---,---
3/10/2020,1870.88,1894.27,1818.17,1891.82,10000.0,---,---
3/11/2020,1857.85,1871.32,1801.5,1820.86,10000.0,---,---
3/12/2020,1721.98,1765.0,1675.0,1675.61,10000.0,---,---
3/13/2020,1755.0,1786.31,1680.62,1785.0,10000.0,---,---
3/16/2020,1641.51,1759.45,1626.03,1689.15,10000.0,---,---
3/17/2020,1775.47,1857.78,1689.24,1807.84,10000.0,---,---
3/18/2020,1750.0,1841.66,1745.0,1831.66,10000.0,---,---
3/19/2020,1860.0,1945.0,1832.65,1880.93,10000.0,---,---
3/20/2020,1926.31,1957.0,1820.73,1846.09,10000.0,1846.09,---
3/23/2020,1827.75,1919.4,1812.0,1902.83,10283.7,---,---
3/24/2020,1951.49,1955.0,1900.34,1940.1,10470.05,---,---
3/25/2020,1923.35,1950.26,1885.78,1885.84,10198.75,---,---
3/26/2020,1902.0,1956.49,1889.29,1955.49,10547.0,---,---
3/27/2020,1930.86,1939.79,1899.92,1900.1,10270.05,---,---
3/30/2020,1922.83,1973.63,1912.34,1963.95,10589.3,---,---
3/31/2020,1964.35,1993.02,1944.01,1949.72,10518.15,---,---
4/1/2020,1932.97,1944.96,1893.0,1907.7,10308.05,---,---
4/2/2020,1901.64,1927.53,1890.0,1918.83,10363.7,---,---
4/3/2020,1911.15,1926.33,1889.15,1906.59,10302.5,---,---
